ID;NOME ZONA;ATTUAZIONE;DATA;TIPO SOSTA
1;Centro storico;ATTUATA;2001;GIALLO BLU
2;Fiera;ATTUATA;2005;GIALLO BLU GRATIS X RES
3;Garibaldi;ATTUATA;2003;GIALLO BLU SERA GRATIS
4;Venezia;ATTUATA;2003;GIALLO BLU SERA GRATIS
5;Romana-Vittoria;ATTUATA;2003;GIALLO BLU SERA GRATIS
6;Ticinese-Vigentina;ATTUATA;2003;GIALLO BLU SERA GRATIS
7;Magenta-S.Vittore;ATTUATA;2003;GIALLO BLU SERA GRATIS
8;N.REG.DEL 2448/2000 seduta del 22.09.200;PREVISTA;;
9;Centro direzionale;ATTUATA;2008;GIALLO BLU
10;Lancetti-Stelvio;ATTUATA;2011-07-31;TUTTO BLU
11;Sondrio;ATTUATA;2011-07-31;TUTTO BLU
12;Lazzaretto-Buenos Aires;ATTUATA;2007-12-31;GIALLO BLU GRATIS X RES
13;Buenos Aires-Bacone;ATTUATA;2007-12-31;GIALLO BLU GRATIS X RES
14;Piave-Bixio;ATTUATA;2006;GIALLO BLU GRATIS X RES
15;Novelli;ATTUATA;2011-02-20;TUTTO BLU
16;Libia;ATTUATA;2005;GIALLO BLU GRATIS X RES
17;Umbria;ATTUATA;2011-01-31;TUTTO BLU
18;Bocconi;ATTUATA;2008;GIALLO BLU
19;Darsena-Navigli;ATTUATA;2005;GIALLO BLU
20;Solari-Bergognone;ATTUATA;2006;GIALLO BLU
21;Washington;ATTUATA;2007-12-31;GIALLO BLU GRATIS X RES
22;Sarpi;ATTUATA;2008;GIALLO BLU GRATIS X RES
23;Piero della Francesca;PREVISTA;;TUTTO BLU PREVISTO
24;Mac-Mahon;PREVISTA;;TUTTO BLU PREVISTO
25;Arcole-Segantini;PREVISTA;;TUTTO BLU PREVISTO
26;Tibaldi - Maggi;PREVISTA;;TUTTO BLU PREVISTO
29;Bicocca;ATTUATA;2005;GIALLO BLU
30;MM1 Monza;ATTUATA;2011-06-30;TUTTO BLU
32;MM2 Gobba;PREVISTA;;TUTTO BLU PREVISTO
34;MM1 Molino Dorino;PREVISTA;2011-12-31;TUTTO BLU
36;"Delibera 1909 del 27/07/2007; Delibera 2";PREVISTA;;
38;MM2 Abbiategrasso;PREVISTA;;TUTTO BLU PREVISTO
39;"Delibera 1909 del 27/07/2007; Delibera 2";PREVISTA;;
40;Bovisa;PREVISTA;;TUTTO BLU PREVISTO
41;Città Studi;PREVISTA;;TUTTO BLU PREVISTO
42;M3 - COMASINA;PREVISTA;2011-09-01;TUTTO BLU PREVISTO
